,Among Holidays,Among Observances,Among Ot`herDays,nPCA,Among OtherDays
9,90.3225806451613,22.22222222222222,,9,16.4576802507837
10,93.54838709677419,30.158730158730158,,10,16.300940438871475
11,93.54838709677419,31.746031746031747,,11,16.300940438871475
12,93.54838709677419,30.158730158730158,,12,16.300940438871475
13,100.0,26.984126984126984,,13,15.987460815047022
14,100.0,26.984126984126984,,14,15.987460815047022
15,100.0,23.80952380952381,,15,15.987460815047022
16,100.0,23.80952380952381,,16,15.987460815047022
17,100.0,28.571428571428573,,17,15.987460815047022
18,100.0,28.571428571428573,,18,15.987460815047022
19,96.7741935483871,28.571428571428573,,19,16.144200626959247
20,100.0,28.571428571428573,,20,15.987460815047022
21,100.0,26.984126984126984,,21,15.987460815047022
22,100.0,28.571428571428573,,22,15.987460815047022
23,100.0,23.80952380952381,,23,15.987460815047022
24,96.7741935483871,23.80952380952381,,24,16.144200626959247
25,96.7741935483871,20.634920634920636,,25,16.144200626959247
